Binh thuong,Gia dinh co nguoi bi benh gan,"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn",,,,"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn/ Nghi ngờ mắc bênh.... có thể do... cần xét nghiệm thêm."
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn",,,
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong < 1 nam,"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn",,
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong < 1 nam,Cach thuc uong Lien tuc (4-5 lan/tuan),"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn. Cần hạn chế sử dụng đồ uống có cồn",
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong < 1 nam,Cach thuc uong Thinh thoang (1-2 lan/tuan),"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn. Cần hạn chế sử dụng đồ uống có cồn",
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong 1-3 nam,"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn. Cần hạn chế sử dụng đồ uống có cồn",,
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong 1-3 nam,Cach thuc uong Lien tuc (4-5 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do sử dụng đồ uống có cồn, cần xét nghiệm thêm và hạn chế đồ uống có cồn",
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong 1-3 nam,Cach thuc uong Thinh thoang (1-2 lan/tuan),"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn. Cần hạn chế sử dụng đồ uống có cồn",
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong > 3 nam,"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn. Cần hạn chế sử dụng đồ uống có cồn",,
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong > 3 nam,Cach thuc uong Lien tuc (4-5 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do sử dụng đồ uống có cồn, cần xét nghiệm thêm và hạn chế đồ uống có cồn",
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong > 3 nam,Cach thuc uong Thinh thoang (1-2 lan/tuan),"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn. Cần hạn chế sử dụng đồ uống có cồn",
Binh thuong,Gia dinh co nguoi bi benh gan,Su dung do uong co con Khong,"Biểu hiện chưa rõ ràng, có thể thực hiện xét nghiệm để kiểm tra kĩ hơn",,,
Nghi ngo,Gia dinh co nguoi bi benh gan,,"Nghi ngờ mắc bệnh gan có thể do di truyền, cần xét nghiệm thêm",,,
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",,,
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong < 1 nam,"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",,
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong < 1 nam,Cach thuc uong Lien tuc (4-5 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong < 1 nam,Cach thuc uong Thinh thoang (1-2 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong 1-3 nam,"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",,
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong 1-3 nam,Cach thuc uong Lien tuc (4-5 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong 1-3 nam,Cach thuc uong Thinh thoang (1-2 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong > 3 nam,"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",,
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong > 3 nam,Cach thuc uong Lien tuc (4-5 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",
Nghi ngo,Gia dinh co nguoi bi benh gan,Su dung do uong co con Co,Thoi gian uong > 3 nam,Cach thuc uong Thinh thoang (1-2 lan/tuan),"Nghi ngờ mắc bệnh gan có thể do di truyền hoặc sử dụng đồ uống có cồn, cần xét nghiệm thêm",
